[t=0000] #001 | Создано         | Mem:  5 | CPU: 12 | Queue:   0 | Время: 0
[t=0036] #002 | Вытеснено       | Mem: 22 | CPU:  3 | Queue:  24 | Квант завершен, 3 осталось выполнить
[t=0036] #007 | Заблокировано   | Mem: 21 | CPU:  7 | Queue:   0 | Нет памяти, нужно 21, есть 5
[t=0036] #004 | Переключение    | Mem: 13 | CPU:  6 | Queue:  24 | Продолжено после ожидания=15
[t=0039] #004 | Вытеснено       | Mem: 13 | CPU:  3 | Queue:  24 | Квант завершен, 3 осталось выполнить
[t=0039] #007 | Заблокировано   | Mem: 21 | CPU:  7 | Queue:   0 | Нет памяти, нужно 21, есть 5
[t=0039] #005 | Переключение    | Mem: 11 | CPU:  7 | Queue:  24 | Продолжено после ожидания=12
[t=0042] #005 | Вытеснено       | Mem: 11 | CPU:  4 | Queue:  24 | Квант завершен, 4 осталось выполнить
[t=0042] #007 | Заблокировано   | Mem: 21 | CPU:  7 | Queue:   0 | Нет памяти, нужно 21, есть 5
[t=0042] #003 | Переключение    | Mem:  7 | CPU:  8 | Queue:  30 | Продолжено после ожидания=12
[t=0045] #003 | Вытеснено       | Mem:  7 | CPU:  5 | Queue:  30 | Квант завершен, 5 осталось выполнить
[t=0045] #007 | Заблокировано   | Mem: 21 | CPU:  7 | Queue:   0 | Нет памяти, нужно 21, есть 5
[t=0045] #006 | Переключение    | Mem: 42 | CPU:  8 | Queue:  27 | Продолжено после ожидания=12
[t=0048] #006 | Вытеснено       | Mem: 42 | CPU:  5 | Queue:  27 | Квант завершен, 5 осталось выполнить
[t=0048] #007 | Заблокировано   | Mem: 21 | CPU:  7 | Queue:   0 | Нет памяти, нужно 21, есть 5
[t=0048] #002 | Переключение    | Mem: 22 | CPU:  3 | Queue:  36 | Продолжено после ожидания=12
[t=0051] #002 | Завершено       | Mem: 22 | CPU:  0 | Queue:  36 | Общее время в очереди=36, освобождено 22 памяти
[t=0051] #007 | Добавлено       | Mem: 21 | CPU:  7 | Queue:   0 | Памяти зватает, добавлено в 51
[t=0051] #004 | Переключение    | Mem: 13 | CPU:  3 | Queue:  36 | Продолжено после ожидания=12
[t=0054] #004 | Завершено       | Mem: 13 | CPU:  0 | Queue:  36 | Общее время в очереди=36, освобождено 13 памяти
[t=0054] #008 | Добавлено       | Mem:  8 | CPU: 16 | Queue:   0 | Памяти зватает, добавлено в 54
[t=0054] #005 | Переключение    | Mem: 11 | CPU:  4 | Queue:  36 | Продолжено после ожидания=12
[t=0057] #005 | Вытеснено       | Mem: 11 | CPU:  1 | Queue:  36 | Квант завершен, 1 осталось выполнить
[t=0057] #009 | Добавлено       | Mem:  1 | CPU: 22 | Queue:   0 | Памяти зватает, добавлено в 57
[t=0057] #003 | Переключение    | Mem:  7 | CPU:  5 | Queue:  42 | Продолжено после ожидания=12
[t=0060] #003 | Вытеснено       | Mem:  7 | CPU:  2 | Queue:  42 | Квант завершен, 2 осталось выполнить
[t=0060] #010 | Заблокировано   | Mem: 11 | CPU: 12 | Queue:   0 | Нет памяти, нужно 11, есть 10
[t=0060] #006 | Переключение    | Mem: 42 | CPU:  5 | Queue:  39 | Продолжено после ожидания=12
[t=0063] #006 | Вытеснено       | Mem: 42 | CPU:  2 | Queue:  39 | Квант завершен, 2 осталось выполнить
[t=0063] #010 | Заблокировано   | Mem: 11 | CPU: 12 | Queue:   0 | Нет памяти, нужно 11, есть 10
[t=0063] #007 | Переключение    | Mem: 21 | CPU:  7 | Queue:  12 | Продолжено после ожидания=12
[t=0066] #007 | Вытеснено       | Mem: 21 | CPU:  4 | Queue:  12 | Квант завершен, 4 осталось выполнить
[t=0066] #010 | Заблокировано   | Mem: 11 | CPU: 12 | Queue:   0 | Нет памяти, нужно 11, есть 10
[t=0066] #008 | Переключение    | Mem:  8 | CPU: 16 | Queue:  12 | Продолжено после ожидания=12
[t=0069] #008 | Вытеснено       | Mem:  8 | CPU: 13 | Queue:  12 | Квант завершен, 13 осталось выполнить
[t=0069] #010 | Заблокировано   | Mem: 11 | CPU: 12 | Queue:   0 | Нет памяти, нужно 11, есть 10
[t=0069] #005 | Переключение    | Mem: 11 | CPU:  1 | Queue:  48 | Продолжено после ожидания=12
[t=0070] #005 | Завершено       | Mem: 11 | CPU:  0 | Queue:  48 | Общее время в очереди=48, освобождено 11 памяти
[t=0070] #010 | Добавлено       | Mem: 11 | CPU: 12 | Queue:   0 | Памяти зватает, добавлено в 70
[t=0070] #009 | Переключение    | Mem:  1 | CPU: 22 | Queue:  13 | Продолжено после ожидания=13
[t=0073] #009 | Вытеснено       | Mem:  1 | CPU: 19 | Queue:  13 | Квант завершен, 19 осталось выполнить
[t=0073] #011 | Заблокировано   | Mem: 25 | CPU:  8 | Queue:   0 | Нет памяти, нужно 25, есть 10
[t=0073] #003 | Переключение    | Mem:  7 | CPU:  2 | Queue:  55 | Продолжено после ожидания=13
[t=0075] #003 | Завершено       | Mem:  7 | CPU:  0 | Queue:  55 | Общее время в очереди=55, освобождено 7 памяти
[t=0075] #011 | Заблокировано   | Mem: 25 | CPU:  8 | Queue:   0 | Нет памяти, нужно 25, есть 17
[t=0075] #006 | Переключение    | Mem: 42 | CPU:  2 | Queue:  51 | Продолжено после ожидания=12
[t=0077] #006 | Завершено       | Mem: 42 | CPU:  0 | Queue:  51 | Общее время в очереди=51, освобождено 42 памяти
[t=0077] #011 | Добавлено       | Mem: 25 | CPU:  8 | Queue:   0 | Памяти зватает, добавлено в 77
[t=0077] #007 | Переключение    | Mem: 21 | CPU:  4 | Queue:  23 | Продолжено после ожидания=11
[t=0080] #007 | Вытеснено       | Mem: 21 | CPU:  1 | Queue:  23 | Квант завершен, 1 осталось выполнить
[t=0080] #012 | Добавлено       | Mem:  8 | CPU: 19 | Queue:   0 | Памяти зватает, добавлено в 80
[t=0080] #008 | Переключение    | Mem:  8 | CPU: 13 | Queue:  23 | Продолжено после ожидания=11
[t=0083] #008 | Вытеснено       | Mem:  8 | CPU: 10 | Queue:  23 | Квант завершен, 10 осталось выполнить
[t=0083] #013 | Добавлено       | Mem:  1 | CPU: 11 | Queue:   0 | Памяти зватает, добавлено в 83
[t=0083] #010 | Переключение    | Mem: 11 | CPU: 12 | Queue:  13 | Продолжено после ожидания=13
[t=0086] #010 | Вытеснено       | Mem: 11 | CPU:  9 | Queue:  13 | Квант завершен, 9 осталось выполнить
[t=0086] #014 | Добавлено       | Mem:  6 | CPU: 11 | Queue:   0 | Памяти зватает, добавлено в 86
[t=0086] #009 | Переключение    | Mem:  1 | CPU: 19 | Queue:  26 | Продолжено после ожидания=13
[t=0089] #009 | Вытеснено       | Mem:  1 | CPU: 16 | Queue:  26 | Квант завершен, 16 осталось выполнить
[t=0089] #015 | Заблокировано   | Mem: 34 | CPU: 10 | Queue:   0 | Нет памяти, нужно 34, есть 19
[t=0089] #011 | Переключение    | Mem: 25 | CPU:  8 | Queue:  12 | Продолжено после ожидания=12
[t=0092] #011 | Вытеснено       | Mem: 25 | CPU:  5 | Queue:  12 | Квант завершен, 5 осталось выполнить
[t=0092] #015 | Заблокировано   | Mem: 34 | CPU: 10 | Queue:   0 | Нет памяти, нужно 34, есть 19
[t=0092] #007 | Переключение    | Mem: 21 | CPU:  1 | Queue:  35 | Продолжено после ожидания=12
[t=0093] #007 | Завершено       | Mem: 21 | CPU:  0 | Queue:  35 | Общее время в очереди=35, освобождено 21 памяти
[t=0093] #015 | Добавлено       | Mem: 34 | CPU: 10 | Queue:   0 | Памяти зватает, добавлено в 93
[t=0093] #012 | Переключение    | Mem:  8 | CPU: 19 | Queue:  13 | Продолжено после ожидания=13
[t=0096] #012 | Вытеснено       | Mem:  8 | CPU: 16 | Queue:  13 | Квант завершен, 16 осталось выполнить
[t=0096] #016 | Добавлено       | Mem:  1 | CPU: 12 | Queue:   0 | Памяти зватает, добавлено в 96
[t=0096] #008 | Переключение    | Mem:  8 | CPU: 10 | Queue:  36 | Продолжено после ожидания=13
[t=0099] #008 | Вытеснено       | Mem:  8 | CPU:  7 | Queue:  36 | Квант завершен, 7 осталось выполнить
[t=0099] #017 | Добавлено       | Mem:  1 | CPU: 17 | Queue:   0 | Памяти зватает, добавлено в 99
[t=0099] #013 | Переключение    | Mem:  1 | CPU: 11 | Queue:  16 | Продолжено после ожидания=16
[t=0102] #013 | Вытеснено       | Mem:  1 | CPU:  8 | Queue:  16 | Квант завершен, 8 осталось выполнить
[t=0102] #018 | Добавлено       | Mem:  3 | CPU: 13 | Queue:   0 | Памяти зватает, добавлено в 102
[t=0102] #010 | Переключение    | Mem: 11 | CPU:  9 | Queue:  29 | Продолжено после ожидания=16
[t=0105] #010 | Вытеснено       | Mem: 11 | CPU:  6 | Queue:  29 | Квант завершен, 6 осталось выполнить
[t=0105] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0105] #014 | Переключение    | Mem:  6 | CPU: 11 | Queue:  19 | Продолжено после ожидания=19
[t=0108] #014 | Вытеснено       | Mem:  6 | CPU:  8 | Queue:  19 | Квант завершен, 8 осталось выполнить
[t=0108] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0108] #009 | Переключение    | Mem:  1 | CPU: 16 | Queue:  45 | Продолжено после ожидания=19
[t=0111] #009 | Вытеснено       | Mem:  1 | CPU: 13 | Queue:  45 | Квант завершен, 13 осталось выполнить
[t=0111] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0111] #011 | Переключение    | Mem: 25 | CPU:  5 | Queue:  31 | Продолжено после ожидания=19
[t=0114] #011 | Вытеснено       | Mem: 25 | CPU:  2 | Queue:  31 | Квант завершен, 2 осталось выполнить
[t=0114] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0114] #015 | Переключение    | Mem: 34 | CPU: 10 | Queue:  21 | Продолжено после ожидания=21
[t=0117] #015 | Вытеснено       | Mem: 34 | CPU:  7 | Queue:  21 | Квант завершен, 7 осталось выполнить
[t=0117] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0117] #012 | Переключение    | Mem:  8 | CPU: 16 | Queue:  34 | Продолжено после ожидания=21
[t=0120] #012 | Вытеснено       | Mem:  8 | CPU: 13 | Queue:  34 | Квант завершен, 13 осталось выполнить
[t=0120] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0120] #016 | Переключение    | Mem:  1 | CPU: 12 | Queue:  24 | Продолжено после ожидания=24
[t=0123] #016 | Вытеснено       | Mem:  1 | CPU:  9 | Queue:  24 | Квант завершен, 9 осталось выполнить
[t=0123] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0123] #008 | Переключение    | Mem:  8 | CPU:  7 | Queue:  60 | Продолжено после ожидания=24
[t=0126] #008 | Вытеснено       | Mem:  8 | CPU:  4 | Queue:  60 | Квант завершен, 4 осталось выполнить
[t=0126] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0126] #017 | Переключение    | Mem:  1 | CPU: 17 | Queue:  27 | Продолжено после ожидания=27
[t=0129] #017 | Вытеснено       | Mem:  1 | CPU: 14 | Queue:  27 | Квант завершен, 14 осталось выполнить
[t=0129] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0129] #013 | Переключение    | Mem:  1 | CPU:  8 | Queue:  43 | Продолжено после ожидания=27
[t=0132] #013 | Вытеснено       | Mem:  1 | CPU:  5 | Queue:  43 | Квант завершен, 5 осталось выполнить
[t=0132] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0132] #018 | Переключение    | Mem:  3 | CPU: 13 | Queue:  30 | Продолжено после ожидания=30
[t=0135] #018 | Вытеснено       | Mem:  3 | CPU: 10 | Queue:  30 | Квант завершен, 10 осталось выполнить
[t=0135] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0135] #010 | Переключение    | Mem: 11 | CPU:  6 | Queue:  59 | Продолжено после ожидания=30
[t=0138] #010 | Вытеснено       | Mem: 11 | CPU:  3 | Queue:  59 | Квант завершен, 3 осталось выполнить
[t=0138] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0138] #014 | Переключение    | Mem:  6 | CPU:  8 | Queue:  49 | Продолжено после ожидания=30
[t=0141] #014 | Вытеснено       | Mem:  6 | CPU:  5 | Queue:  49 | Квант завершен, 5 осталось выполнить
[t=0141] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0141] #009 | Переключение    | Mem:  1 | CPU: 13 | Queue:  75 | Продолжено после ожидания=30
[t=0144] #009 | Вытеснено       | Mem:  1 | CPU: 10 | Queue:  75 | Квант завершен, 10 осталось выполнить
[t=0144] #019 | Заблокировано   | Mem: 11 | CPU: 13 | Queue:   0 | Нет памяти, нужно 11, есть 1
[t=0144] #011 | Переключение    | Mem: 25 | CPU:  2 | Queue:  61 | Продолжено после ожидания=30
[t=0146] #011 | Завершено       | Mem: 25 | CPU:  0 | Queue:  61 | Общее время в очереди=61, освобождено 25 памяти
[t=0146] #019 | Добавлено       | Mem: 11 | CPU: 13 | Queue:   0 | Памяти зватает, добавлено в 146
[t=0146] #015 | Переключение    | Mem: 34 | CPU:  7 | Queue:  50 | Продолжено после ожидания=29
[t=0149] #015 | Вытеснено       | Mem: 34 | CPU:  4 | Queue:  50 | Квант завершен, 4 осталось выполнить
[t=0149] #020 | Добавлено       | Mem:  2 | CPU: 10 | Queue:   0 | Памяти зватает, добавлено в 149
[t=0149] #012 | Переключение    | Mem:  8 | CPU: 13 | Queue:  63 | Продолжено после ожидания=29
[t=0152] #012 | Вытеснено       | Mem:  8 | CPU: 10 | Queue:  63 | Квант завершен, 10 осталось выполнить
[t=0152] #021 | Добавлено       | Mem:  1 | CPU: 10 | Queue:   0 | Памяти зватает, добавлено в 152
[t=0152] #016 | Переключение    | Mem:  1 | CPU:  9 | Queue:  53 | Продолжено после ожидания=29
[t=0155] #016 | Вытеснено       | Mem:  1 | CPU:  6 | Queue:  53 | Квант завершен, 6 осталось выполнить
[t=0155] #022 | Добавлено       | Mem: 10 | CPU: 17 | Queue:   0 | Памяти зватает, добавлено в 155
[t=0155] #008 | Переключение    | Mem:  8 | CPU:  4 | Queue:  89 | Продолжено после ожидания=29
[t=0158] #008 | Вытеснено       | Mem:  8 | CPU:  1 | Queue:  89 | Квант завершен, 1 осталось выполнить
[t=0158] #023 | Заблокировано   | Mem:  8 | CPU: 14 | Queue:   0 | Нет памяти, нужно 8, есть 2
[t=0158] #017 | Переключение    | Mem:  1 | CPU: 14 | Queue:  56 | Продолжено после ожидания=29
[t=0161] #017 | Вытеснено       | Mem:  1 | CPU: 11 | Queue:  56 | Квант завершен, 11 осталось выполнить
[t=0161] #023 | Заблокировано   | Mem:  8 | CPU: 14 | Queue:   0 | Нет памяти, нужно 8, есть 2
[t=0161] #013 | Переключение    | Mem:  1 | CPU:  5 | Queue:  72 | Продолжено после ожидания=29
[t=0164] #013 | Вытеснено       | Mem:  1 | CPU:  2 | Queue:  72 | Квант завершен, 2 осталось выполнить
[t=0164] #023 | Заблокировано   | Mem:  8 | CPU: 14 | Queue:   0 | Нет памяти, нужно 8, есть 2
[t=0164] #018 | Переключение    | Mem:  3 | CPU: 10 | Queue:  59 | Продолжено после ожидания=29
[t=0167] #018 | Вытеснено       | Mem:  3 | CPU:  7 | Queue:  59 | Квант завершен, 7 осталось выполнить
[t=0167] #023 | Заблокировано   | Mem:  8 | CPU: 14 | Queue:   0 | Нет памяти, нужно 8, есть 2
[t=0167] #010 | Переключение    | Mem: 11 | CPU:  3 | Queue:  88 | Продолжено после ожидания=29
[t=0170] #010 | Завершено       | Mem: 11 | CPU:  0 | Queue:  88 | Общее время в очереди=88, освобождено 11 памяти
[t=0170] #023 | Добавлено       | Mem:  8 | CPU: 14 | Queue:   0 | Памяти зватает, добавлено в 170
[t=0170] #014 | Переключение    | Mem:  6 | CPU:  5 | Queue:  78 | Продолжено после ожидания=29
[t=0173] #014 | Вытеснено       | Mem:  6 | CPU:  2 | Queue:  78 | Квант завершен, 2 осталось выполнить
[t=0173] #024 | Добавлено       | Mem:  2 | CPU: 11 | Queue:   0 | Памяти зватает, добавлено в 173
[t=0173] #009 | Переключение    | Mem:  1 | CPU: 10 | Queue: 104 | Продолжено после ожидания=29
[t=0176] #009 | Вытеснено       | Mem:  1 | CPU:  7 | Queue: 104 | Квант завершен, 7 осталось выполнить
[t=0176] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 3
[t=0176] #019 | Переключение    | Mem: 11 | CPU: 13 | Queue:  30 | Продолжено после ожидания=30
[t=0179] #019 | Вытеснено       | Mem: 11 | CPU: 10 | Queue:  30 | Квант завершен, 10 осталось выполнить
[t=0179] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 3
[t=0179] #015 | Переключение    | Mem: 34 | CPU:  4 | Queue:  80 | Продолжено после ожидания=30
[t=0182] #015 | Вытеснено       | Mem: 34 | CPU:  1 | Queue:  80 | Квант завершен, 1 осталось выполнить
[t=0182] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 3
[t=0182] #020 | Переключение    | Mem:  2 | CPU: 10 | Queue:  33 | Продолжено после ожидания=33
[t=0185] #020 | Вытеснено       | Mem:  2 | CPU:  7 | Queue:  33 | Квант завершен, 7 осталось выполнить
[t=0185] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 3
[t=0185] #012 | Переключение    | Mem:  8 | CPU: 10 | Queue:  96 | Продолжено после ожидания=33
[t=0188] #012 | Вытеснено       | Mem:  8 | CPU:  7 | Queue:  96 | Квант завершен, 7 осталось выполнить
[t=0188] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 3
[t=0188] #021 | Переключение    | Mem:  1 | CPU: 10 | Queue:  36 | Продолжено после ожидания=36
[t=0191] #021 | Вытеснено       | Mem:  1 | CPU:  7 | Queue:  36 | Квант завершен, 7 осталось выполнить
[t=0191] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 3
[t=0191] #016 | Переключение    | Mem:  1 | CPU:  6 | Queue:  89 | Продолжено после ожидания=36
[t=0194] #016 | Вытеснено       | Mem:  1 | CPU:  3 | Queue:  89 | Квант завершен, 3 осталось выполнить
[t=0194] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 3
[t=0194] #022 | Переключение    | Mem: 10 | CPU: 17 | Queue:  39 | Продолжено после ожидания=39
[t=0197] #022 | Вытеснено       | Mem: 10 | CPU: 14 | Queue:  39 | Квант завершен, 14 осталось выполнить
[t=0197] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 3
[t=0197] #008 | Переключение    | Mem:  8 | CPU:  1 | Queue: 128 | Продолжено после ожидания=39
[t=0198] #008 | Завершено       | Mem:  8 | CPU:  0 | Queue: 128 | Общее время в очереди=128, освобождено 8 памяти
[t=0198] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 11
[t=0198] #017 | Переключение    | Mem:  1 | CPU: 11 | Queue:  93 | Продолжено после ожидания=37
[t=0201] #017 | Вытеснено       | Mem:  1 | CPU:  8 | Queue:  93 | Квант завершен, 8 осталось выполнить
[t=0201] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 11
[t=0201] #013 | Переключение    | Mem:  1 | CPU:  2 | Queue: 109 | Продолжено после ожидания=37
[t=0203] #013 | Завершено       | Mem:  1 | CPU:  0 | Queue: 109 | Общее время в очереди=109, освобождено 1 памяти
[t=0203] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 12
[t=0203] #018 | Переключение    | Mem:  3 | CPU:  7 | Queue:  95 | Продолжено после ожидания=36
[t=0206] #018 | Вытеснено       | Mem:  3 | CPU:  4 | Queue:  95 | Квант завершен, 4 осталось выполнить
[t=0206] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 12
[t=0206] #023 | Переключение    | Mem:  8 | CPU: 14 | Queue:  36 | Продолжено после ожидания=36
[t=0209] #023 | Вытеснено       | Mem:  8 | CPU: 11 | Queue:  36 | Квант завершен, 11 осталось выполнить
[t=0209] #025 | Заблокировано   | Mem: 15 | CPU: 10 | Queue:   0 | Нет памяти, нужно 15, есть 12
[t=0209] #014 | Переключение    | Mem:  6 | CPU:  2 | Queue: 114 | Продолжено после ожидания=36
[t=0211] #014 | Завершено       | Mem:  6 | CPU:  0 | Queue: 114 | Общее время в очереди=114, освобождено 6 памяти
[t=0211] #025 | Добавлено       | Mem: 15 | CPU: 10 | Queue:   0 | Памяти зватает, добавлено в 211
